"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Leopard dace","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Rhinichthys","Rhinichthys falcatus"
"Speckled dace","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Rhinichthys","Rhinichthys osculus"
"Umatilla dace","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Rhinichthys","Rhinichthys umatilla"
"Ross's gull","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Rhodostethia","Rhodostethia rosea"
"Cascade torrent salamander","Eukaryota","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae"
"Columbia torrent salamander","Eukaryota","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton kezeri"
"Southern torrent salamander","Eukaryota","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton variegatus"
"Redside shiner","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Richardsonius","Richardsonius balteatus"
"Lahontan redside shiner","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Richardsonius","Richardsonius egregius"
"Bank swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia"
"Red-legged kittiwake","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa brevirostris"
"Black-legged kittiwake","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla"
"Black skimmer","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Rynchops","Rynchops niger"
"Atlantic salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo salar"
"Brown trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Rock wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Salpinctes","Salpinctes obsoletus"
"Bull trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus confluentus"
"Brook trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Lake trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush"
"Walleye","Eukaryota","Chordata","Actinopterygii","Perciformes","Percidae","Sander","Sander vitreus"
"Pacific bonito","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Sarda","Sarda chiliensis"
"Pacific sardine","Eukaryota","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax"
"Black phoebe","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans"
"Eastern phoebe","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis phoebe"
"Say's phoebe","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis saya"
"Northern broad-footed mole","Eukaryota","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus","Scapanus latimanus"
"Coast mole","Eukaryota","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus","Scapanus orarius"
"Townsend's mole","Eukaryota","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus","Scapanus townsendii"
"Sagebrush lizard","Eukaryota","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus graciosus"
"Western fence lizard","Eukaryota","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus occidentalis"
"Eastern fox squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus niger"
"Pacific mackerel","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Scomber","Scomber japonicus"
"Cabezon","Eukaryota","Chordata","Actinopterygii","Perciformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus"
"Pacific Ocean perch","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes alutus"
"Brown rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes auriculatus"
"Redbanded rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes babcocki"
"Silvergray rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes brevispinis"
"Gopher rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes carnatus"
"Copper rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes caurinus"
"Greenspotted rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes chlorostictus"
"Black and yellow rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes chrysomelas"
"Deacon rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes diaconus"
"Greenstriped rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes elongatus"
"Widow rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes entomelas"
"Yellowtail rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes flavidus"
"Chilipepper rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes goodei"
"Rosethorn rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes helvomaculatus"
"Cowcod","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes levis"
"Quillback rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes maliger"
"Black rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes melanops"
"Vermilion rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes miniatus"
"Blue rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes mystinus"
"China rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes nebulosus"
"Tiger rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes nigrocinctus"
"Speckled rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes ovalis"
"Bocaccio","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes paucispinis"
"Canary rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"Redstripe rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes proriger"
"Grass rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes rastrelliger"
"Yellowmouth rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes reedi"
"Rosy rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes rosaceus"
"Yelloweye rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes ruberrimus"
"Olive rockfish","Eukaryota","Chordata","Actinopterygii","Perciformes","Sebastidae","Sebastes","Sebastes serranoides"
"Ovenbird","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla"
"Calliope hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus calliope"
"Broad-tailed hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus"
"Rufous hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus"
"Allen's hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus sasin"
"Yellowtail amberjack","Eukaryota","Chordata","Actinopterygii","Carangiformes","Carangidae","Seriola","Seriola lalandi"
"Northern parula","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga americana"
"Black-throated blue warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga caerulescens"
"Bay-breasted warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga castanea"
"Hooded warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga citrina"
"Yellow-rumped warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga coronata"
"Prairie warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga discolor"
"Yellow-throated warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga dominica"
"Blackburnian warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga fusca"
"Magnolia warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga magnolia"
"Black-throated gray warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga nigrescens"
"Hermit warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga occidentalis"
"Palm warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga palmarum"
"Chestnut-sided warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga pensylvanica"
"Yellow warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia"
"Pine warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga pinus"
"American redstart","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga ruticilla"
"Blackpoll warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga striata"
"Cape May warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga tigrina"
"Townsend's warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga townsendi"
"Black-throated green warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga virens"
"Mountain bluebird","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia currucoides"
"Western bluebird","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia mexicana"
"Eastern bluebird","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis"
"Baikal teal","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Sibirionetta","Sibirionetta formosa"
"Tui chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Siphateles","Siphateles bicolor"
"Borax Lake chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Siphateles","Siphateles boraxobius"
"Red-breasted nuthatch","Eukaryota","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta canadensis"
"White-breasted nuthatch","Eukaryota","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta carolinensis"
"Pygmy nuthatch","Eukaryota","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta pygmaea"
"Common eider","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria mollissima"
"King eider","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria spectabilis"
"Pacific sleeper shark","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Somniosidae","Somniosus","Somniosus pacificus"
"Western ground snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Sonora","Sonora semiannulata"
"Baird's shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex bairdi"
"Marsh shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex bendirii"
"Masked shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex cinereus"
"Merriam's shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex merriami"
"Montane shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex monticolus"
"Pacific shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex pacificus"
"Water shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex palustris"
"Preble's shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex preblei"
"Fog shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex sonomae"
"Trowbridge's shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex trowbridgii"
"Vagrant shrew","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex vagrans"
"Northern shoveler","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Spatula","Spatula clypeata"
"Blue-winged teal","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Spatula","Spatula discors"
"Garganey","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Spatula","Spatula querquedula"
"Great Basin spadefoot","Eukaryota","Chordata","Amphibia","Anura","Scaphiopodidae","Spea","Spea intermontana"
"Red-naped sapsucker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus nuchalis"
"Red-breasted sapsucker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber"
"Williamson's sapsucker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus thyroideus"
"Yellow-bellied sapsucker","Eukaryota","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus varius"
"Western spotted skunk","Eukaryota","Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","Spilogale gracilis"
"Lawrence's goldfinch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus lawrencei"
"Pine siskin","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus pinus"
"Lesser goldfinch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus psaltria"
"American goldfinch","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus tristis"
"Night smelt","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus","Spirinchus starksi"
"Longfin smelt","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus","Spirinchus thaleichthys"
"Dickcissel","Eukaryota","Chordata","Aves","Passeriformes","Cardinalidae","Spiza","Spiza americana"
"Black-chinned sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella atrogularis"
"Brewer's sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella breweri"
"Clay-colored sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella pallida"
"Chipping sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella passerina"
"American tree sparrow","Eukaryota","Chordata","Aves","Passeriformes","Passerellidae","Spizelloides","Spizelloides arborea"
"Spiny dogfish","Eukaryota","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias"
"Northern rough-winged swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Stelgidopteryx","Stelgidopteryx serripennis"
"Calliope hummingbird","Eukaryota","Chordata","Aves","Apodiformes","Trochilidae","Stellula","Stellula calliope"
"Striped dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"Long-tailed jaeger","Eukaryota","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius longicaudus"
"South polar skua","Eukaryota","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius maccormicki"
"Parasitic jaeger","Eukaryota","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus"
"Pomarine jaeger","Eukaryota","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius pomarinus"
"Forster's tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna forsteri"
"Common tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo"
"Arctic tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea"
"Least tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula antillarum"
"Eurasian collared-dove","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto"
"Great gray owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix nebulosa"
"Northern spotted owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis"
"Barred owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix varia"
"Western meadowlark","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella neglecta"
"Euopean starling","Eukaryota","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris"
"Masked booby","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula dactylatra"
"Nazca booby","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula granti"
"Brown booby","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula leucogaster"
"Blue-footed booby","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula nebouxii"
"Red-footed booby","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula sula"
"Northern hawk owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Surnia","Surnia ulula"
"Brush rabbit","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus bachmani"
"Eastern cottontail","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus floridanus"
"Mountain cottontail","Eukaryota","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus nuttallii"
"Ancient murrelet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Synthliboramphus","Synthliboramphus antiquus"
"Guadalupe murrelet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Synthliboramphus","Synthliboramphus hypoleucus"
"Scripps's murrelet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Synthliboramphus","Synthliboramphus scrippsi"
"Tree swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"Violet-green swallow","Eukaryota","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina"
"Mexican free-tailed bat","Eukaryota","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis"
"Yellow-pine chipmunk","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias amoenus"
"Least chipmunk","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias minimus"
"Allen's chipmunk","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias senex"
"Siskiyou chipmunk","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias siskiyou"
"Townsend's chipmunk","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias townsendii"
"Douglas' squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus douglasii"
"Red squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus hudsonicus"
"Rough-skinned newt","Eukaryota","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha granulosa"
"Red-flanked bluetail","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Tarsiger","Tarsiger cyanurus"
"American badger","Eukaryota","Chordata","Mammalia","Carnivora","Mustelidae","Taxidea","Taxidea taxus"
"White-capped albatross","Eukaryota","Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche cauta"
"Elegant tern","Eukaryota","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus elegans"
"Eulachon","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus"
"Aquatic garter snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis atratus"
"Western terrestrial garter snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis elegans"
"Northwestern garter snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis ordinoides"
"Common garter snake","Eukaryota","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis sirtalis"
"Botta's pocket gopher","Eukaryota","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bottae"
"Camas pocket gopher","Eukaryota","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bulbivorus"
"Western pocket gopher","Eukaryota","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys mazama"
"Northern pocket gopher","Eukaryota","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys talpoides"
"Townsend's pocket gopher","Eukaryota","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys townsendii"
"Bewick's wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Thryomanes","Thryomanes bewickii"
"Albacore","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus alalunga"
"Yellowfin tuna","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus albacares"
"Bigeye tuna","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus obesus"
"Bluefin tuna","Eukaryota","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus thynnus"
"Arctic grayling","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Thymallus","Thymallus arcticus"
"Curve-billed thrasher","Eukaryota","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma curvirostre"
"California thrasher","Eukaryota","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma redivivum"
"Brown thrasher","Eukaryota","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma rufum"
"Red-eared slider ","Eukaryota","Chordata","Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta"
"Jackmackerel","Eukaryota","Chordata","Actinopterygii","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"Leopard shark","Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","Triakis semifasciata"
"Spotted redshank","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa erythropus"
"Lesser yellowlegs","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa flavipes"
"Wood sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa glareola"
"Wandering tattler","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa incana"
"Greater yellowlegs","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa melanoleuca"
"Willet","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa semipalmata"
"Solitary sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa solitaria"
"House wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes aedon"
"Winter wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes hiemalis"
"Pacific wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes pacificus"
"Winter wren","Eukaryota","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes","Troglodytes troglodytes"
"American robin","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"Dusky thrush","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus naumanni"
"Common bottlenose dolphin","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Tursiops","Tursiops truncatus"
"Sharp-tailed grouse","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Tympanuchus","Tympanuchus phasianellus"
"Scissor-tailed flycatcher","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus forficatus"
"Tropical kingbird","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus melancholicus"
"Eastern kingbird","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus tyrannus"
"Western kingbird","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus verticalis"
"Cassin's kingbird","Eukaryota","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus vociferans"
"Barn owl","Eukaryota","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba"
"Common murre","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge"
"Thick-billed murre","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria lomvia"
"Belding's ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus beldingi"
"Merriam's ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus canus"
"Columbian ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus columbianus"
"Wyoming ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus elegans"
"Piute ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus mollis"
"Washington ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus washingtoni"
"Gray fox","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus"
"Black bear","Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus"
"Side-blotched lizard","Eukaryota","Chordata","Reptilia","Squamata","Phrynosomatidae","Uta","Uta stansburiana"
"Golden-winged warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Vermivora","Vermivora chrysoptera"
"Blue-winged warbler","Eukaryota","Chordata","Aves","Passeriformes","Parulidae","Vermivora","Vermivora cyanoptera"
"Bell's vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo bellii"
"Cassin's vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo cassinii"
"Yellow-throated vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo flavifrons"
"Warbling vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus"
"White-eyed vireo","Eukaryota","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo griseus"
