"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Whimbrel","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus"
"Bristle-thighed curlew","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius tahitiensis"
"Yellow-crowned night-heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Nyctanassa","Nyctanassa violacea"
"Black-crowned night heron","Eukaryota","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax"
"Wilson's storm-petrel","Eukaryota","Chordata","Aves","Procellariiformes","family Oceanites","Oceanites","Oceanites oceanicus"
"Fork-tailed storm-petrel","Eukaryota","Chordata","Aves","Procellariiformes","family Oceanodroma","Oceanodroma","Oceanodroma furcata"
"Ashy storm-petrel","Eukaryota","Chordata","Aves","Procellariiformes","family Oceanodroma","Oceanodroma","Oceanodroma homochroa"
"Leach's storm-petrel","Eukaryota","Chordata","Aves","Procellariiformes","family Oceanodroma","Oceanodroma","Oceanodroma leucorhoa"
"Black storm-petrel","Eukaryota","Chordata","Aves","Procellariiformes","family Oceanodroma","Oceanodroma","Oceanodroma melania"
"American pika","Eukaryota","Chordata","Mammalia","Lagomorpha","Ochotonidae","Ochotona","Ochotona princeps"
"Mule deer","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus hemionus"
"White-tailed deer","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus"
"Northern wheatear","Eukaryota","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe oenanthe"
"Cutthroat trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"Pink salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"Chum salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"Coho salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"Rainbow trout","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Sockeye salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"Chinook salmon","Eukaryota","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"Common muskrat","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus"
"Northern grasshopper mouse","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Onychomys","Onychomys leucogaster"
"Lingcod","Eukaryota","Chordata","Actinopterygii","Perciformes","Hexagrammidae","Ophiodon","Ophiodon elongatus"
"Killer whale","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Orcinus","Orcinus orca"
"Mountain goat","Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Oreamnos","Oreamnos americanus"
"Oregon chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Oregonichthys","Oregonichthys crameri"
"Umpqua chub","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Oregonichthys","Oregonichthys kalawatseti"
"Mountain quail","Eukaryota","Chordata","Aves","Galliformes","Odontophoridae","Oreortyx","Oreortyx pictus"
"Sage thrasher","Eukaryota","Chordata","Aves","Passeriformes","Sturnidae","Oreoscoptes","Oreoscoptes montanus"
"California ground squirrel","Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Otospermophilus","Otospermophilus beecheyi"
"Bighorn sheep","Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis"
"Ruddy duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis"
"Osprey","Eukaryota","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus"
"Kelp bass","Eukaryota","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","Paralabrax clathratus"
"California halibut","Eukaryota","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys californicus"
